center     color diametemass
plain      brown   13.210.83
plain      green   13.480.87
plain      blue    13.310.87
plain      yellow  14.060.82
plain      orange  13.040.74
plain      brown   13.670.98
plain      orange  13.310.82
plain      orange  13.540.91
plain      blue    12.84 0.8
plain      blue    12.820.79
plain      red     13.130.79
plain      blue    13.330.87
plain      green   13.350.87
plain      red     13.650.86
plain      blue    13.450.89
plain      green   12.520.77
plain      orange  13.560.89
plain      yellow  13.550.97
plain      green   13.860.89
plain      red     13.120.84
plain      blue    13.040.85
plain      orange  13.060.82
plain      orange  12.930.79
plain      yellow  12.810.81
plain      green   13.020.84
plain      red     13.350.86
plain      red     13.53 0.9
plain      blue    13.520.91
plain      orange  13.15 0.9
plain      green   13.840.87
plain      yellow  13.210.89
plain      green   13.330.89
plain      blue    13.140.86
plain      blue     13.30.86
plain      red     13.440.92
plain      green   13.15 0.9
plain      blue    13.110.84
plain      brown   13.430.95
plain      orange  13.320.88
plain      orange  13.220.88
plain      brown   13.290.89
plain      brown   13.260.85
plain      green   13.290.86
plain      orange  13.160.81
plain      blue    13.340.83
plain      brown   13.150.89
plain      red     14.330.89
plain      yellow  13.170.85
plain      brown   13.350.91
plain      orange  13.310.87
plain      blue    12.390.81
plain      red     13.070.88
plain      blue    13.050.88
plain      brown   13.720.87
plain      green   13.130.86
plain      brown   13.690.84
plain      brown   13.470.89
plain      red     12.980.84
plain      brown   13.040.87
plain      blue    13.080.82
plain      orange  13.160.78
plain      red     13.190.79
plain      green   13.440.84
plain      yellow   13.90.82
plain      orange  13.45 0.9
plain      orange  14.380.97
plain      blue    13.71 0.8
plain      green   12.730.88
plain      green   13.590.91
plain      green   13.720.93
plain      red     13.030.79
plain      yellow  13.840.86
plain      blue    13.320.94
plain      green    13.60.87
plain      red     12.91 0.8
plain      brown   13.290.85
plain      red     13.260.91
plain      orange  13.460.87
plain      brown   13.370.93
plain      brown   14.240.88
plain      brown   13.170.93
plain      orange  12.470.85
plain      brown   13.560.92
plain      blue    13.320.94
plain      orange  13.320.87
plain      blue    12.890.85
plain      orange  13.330.88
plain      orange  13.870.91
plain      yellow  13.28 0.9
plain      blue    13.060.86
plain      orange  13.230.85
plain      brown   13.820.85
plain      yellow  12.770.85
plain      green   13.090.84
plain      yellow   13.50.94
plain      green   13.720.87
plain      green   13.490.92
plain      blue    14.060.95
plain      yellow  12.670.83
plain      blue    12.810.83
plain      yellow  13.750.88
plain      green   13.370.91
plain      blue    13.340.93
plain      yellow  12.320.72
plain      red      13.10.84
plain      brown   13.320.84
plain      red     13.440.92
plain      yellow  13.550.86
plain      brown   13.560.89
plain      blue    13.170.84
plain      green   13.54 0.9
plain      red     13.650.92
plain      brown   13.230.88
plain      brown   13.390.93
plain      red     13.430.88
plain      yellow   13.40.89
plain      green    12.90.84
plain      green    12.80.81
plain      red     13.280.86
plain      green   13.58 0.9
plain      brown   13.050.88
plain      green   12.72 0.9
plain      blue    13.29 0.9
plain      green   13.050.89
plain      orange  13.190.89
plain      brown   13.010.86
plain      blue     12.90.92
plain      red     13.690.95
plain      red     13.230.85
plain      green   14.010.93
plain      blue    13.560.91
plain      red     13.470.89
plain      yellow  13.280.88
plain      red      14.20.95
plain      red     13.120.86
plain      orange  13.540.91
plain      green   13.040.85
plain      yellow  13.630.87
plain      blue    13.420.88
plain      brown   12.860.89
plain      yellow  13.480.89
plain      orange  13.130.82
plain      red     13.250.84
plain      green   13.320.92
plain      blue    13.710.98
plain      green   13.270.88
plain      orange  13.250.91
plain      green   13.370.89
plain      brown   13.270.88
plain      yellow   13.30.93
plain      brown   13.140.83
plain      red     13.270.85
plain      brown   13.490.93
plain      orange  13.380.88
plain      green   13.050.81
plain      yellow  13.51 0.9
plain      yellow  13.520.88
plain      red     13.220.87
plain      brown   13.280.95
plain      yellow  12.810.79
plain      blue    12.970.82
plain      brown   12.730.77
plain      orange  13.070.89
plain      orange  13.120.85
plain      yellow  13.590.84
plain      blue     13.40.88
plain      blue    13.380.89
plain      green   13.880.85
plain      blue    13.590.95
plain      brown   13.58 0.9
plain      yellow  13.330.84
plain      yellow  13.070.86
plain      green   13.23 0.9
plain      orange  13.910.89
plain      brown   12.990.86
plain      red     13.370.88
plain      green   13.220.81
plain      brown   13.380.96
plain      red     12.910.87
plain      green   13.640.85
plain      green   14.170.91
plain      orange  12.880.87
plain      brown    14.10.89
plain      brown   12.860.77
plain      red     13.080.82
plain      yellow  13.250.84
plain      orange  13.280.88
plain      green   13.330.89
plain      brown   12.880.88
plain      blue     13.2 0.9
plain      orange  12.990.84
plain      green   13.590.91
plain      green   13.85 0.8
plain      brown   13.120.88
plain      green   13.230.84
plain      red     13.280.85
plain      blue     13.10.84
plain      brown   13.330.84
plain      blue    13.220.84
plain      green   13.25 0.8
plain      brown   13.860.87
plain      red     13.360.87
plain      blue    13.840.93
plain      brown    13.70.95
plain      yellow  13.070.84
plain      yellow  13.84 0.9
plain      blue    13.330.82
